date,whole_sale_price_LKR
1/1/2012,100
2/1/2012,104
3/1/2012,102
4/1/2012,110
5/1/2012,114
6/1/2012,108
7/1/2012,105
8/1/2012,103
9/1/2012,106
10/1/2012,110
11/1/2012,117
12/1/2012,125
1/1/2013,127
2/1/2013,130
3/1/2013,128
4/1/2013,136
5/1/2013,138
6/1/2013,135
7/1/2013,133
8/1/2013,130
9/1/2013,127
10/1/2013,131
11/1/2013,140
12/1/2013,142
1/1/2014,148
2/1/2014,152
3/1/2014,150
4/1/2014,160
5/1/2014,157
6/1/2014,155
7/1/2014,154
8/1/2014,152
9/1/2014,147
10/1/2014,149
11/1/2014,156
12/1/2014,159
1/1/2015,166
2/1/2015,170
3/1/2015,168
4/1/2015,182
5/1/2015,184
6/1/2015,177
7/1/2015,173
8/1/2015,169
9/1/2015,164
10/1/2015,162
11/1/2015,167
12/1/2015,178
1/1/2016,190
2/1/2016,194
3/1/2016,192
4/1/2016,200
5/1/2016,204
6/1/2016,199
7/1/2016,195
8/1/2016,193
9/1/2016,191
10/1/2016,194
11/1/2016,201
12/1/2016,211
1/1/2017,215
2/1/2017,220
3/1/2017,216
4/1/2017,229
5/1/2017,226
6/1/2017,224
7/1/2017,220
8/1/2017,215
9/1/2017,211
10/1/2017,207
11/1/2017,214
12/1/2017,230
1/1/2018,236
2/1/2018,240
3/1/2018,238
4/1/2018,242
5/1/2018,244
6/1/2018,240
7/1/2018,236
8/1/2018,233
9/1/2018,234
10/1/2018,239
11/1/2018,245
12/1/2018,252
1/1/2019,258
2/1/2019,259
3/1/2019,255
4/1/2019,262
5/1/2019,261
6/1/2019,258
7/1/2019,256
8/1/2019,253
9/1/2019,250
10/1/2019,257
11/1/2019,263
12/1/2019,270
1/1/2020,278
2/1/2020,280
3/1/2020,275
4/1/2020,284
5/1/2020,282
6/1/2020,276
7/1/2020,271
8/1/2020,264
9/1/2020,269
10/1/2020,277
11/1/2020,286
12/1/2020,292
